customerKey,sex,isMarried,isEmployed,hasNewBaby,age,educationLevel,occupationCategory,annualIncome,race,primaryLanguage,childrenNum,avgPurchaseAmount
a865bae6-5,Male,1,1,0,24,"High school",Transportation,93066,White,English,3,425.03
2ca5104204,Male,1,1,0,24,"High school",Transportation,93066,White,English,3,400.85
2ca5111e61,Male,0,1,0,70,"High school","Food preparation",101629,White,English,0,269.19
2ca5121839,Male,1,0,0,65,Basic,NULL,194116,White,English,0,361.37
2ca5131215,Male,0,1,0,41,"High school",Management,113514,White,English,0,270.08
2ca513ee10,Male,1,0,0,30,"High school",NULL,79468,White,English,1,253.86
2ca514ca93,Female,1,0,0,77,"High school",NULL,112790,White,English,0,356.28
2ca515b024,Male,0,1,0,53,"High school",Science,92067,"African american",English,0,277.53
2ca5168c50,Female,1,1,0,26,"High school",Education,105978,White,English,4,349.52
2ca5176817,Male,0,0,0,57,"High school",NULL,53478,"African american",English,0,261.70
2ca5184e64,Male,1,1,0,29,"High school","Office administrative support",55380,"African american",English,2,337.87
a865bc3a-5,Female,0,1,0,38,"High school","Food preparation",54625,White,English,4,345.16
2ca5193435,Female,0,1,0,38,"High school","Food preparation",54625,White,English,4,341.88
a865bcbc-5,Male,0,0,0,71,"High school",NULL,109641,White,Spanish,0,253.44
2ca51a1004,Male,0,0,0,71,"High school",NULL,109641,White,Spanish,0,394.71
2ca51aec43,Female,1,1,0,64,"College advanced","Personal care",65851,White,English,0,299.03
2ca51bc809,Male,1,1,0,41,College,Education,58855,White,English,0,317.18
2ca51ca479,Female,0,1,0,55,College,"Business and finance",69739,White,Spanish,0,264.58
2ca51d9416,Male,0,1,0,56,College,Education,54146,White,English,0,241.38
2ca51e7066,Female,1,1,0,22,College,"Office administrative support",70982,White,English,4,366.65
2ca51f4289,Male,1,0,0,69,"High school",NULL,149553,White,English,0,356.37
2ca5202887,Male,0,0,0,59,"High school",NULL,64664,White,English,0,225.57
2ca5210452,Female,0,1,0,43,"High school","Food preparation",58164,White,English,0,204.62
2ca521e082,Male,0,1,0,72,College,"Office administrative support",144769,White,English,0,297.20
2ca522bc57,Male,1,0,0,70,College,NULL,44277,White,English,0,304.51
2ca5238e18,Female,1,1,0,53,College,"Office administrative support",69381,White,English,0,311.03
a865bdac-5,Male,1,1,0,49,"High school","Food preparation",19429,Mixed,English,0,230.50
2ca5246a76,Female,0,0,0,24,Basic,NULL,120468,White,English,0,234.72
2ca5256414,Male,1,0,0,80,Basic,NULL,74362,"African american",English,0,295.92
2ca5264049,Male,1,1,0,62,"High school","Construction and extraction",57379,White,English,0,319.34
2ca5272630,Female,1,1,0,59,College,"Office administrative support",67921,White,English,0,214.48
2ca5281648,Male,1,1,0,74,"College advanced","Healthcare practice",41487,White,English,0,286.98
a865be24-5,Female,1,1,0,30,Basic,"Healthcare practice",171047,White,English,5,342.59
2ca5291058,Female,1,1,0,30,Basic,"Healthcare practice",171047,White,English,5,355.83
2ca529ec02,Male,0,0,0,72,"High school",NULL,189702,"African american",Spanish,0,246.31
2ca52ad286,Female,0,1,0,59,Basic,"Software engineering and math",58656,White,English,0,203.74
2ca52bae01,Male,1,1,0,50,College,"Social services",65670,"African american",English,0,252.22
2ca52c8045,Male,1,1,0,55,"High school","Law enforcement",69136,White,Spanish,0,298.26
a865bf1e-5,Female,1,1,0,29,College,"Food preparation",147863,White,English,2,327.08
2ca52d5c92,Female,1,1,0,29,College,"Food preparation",147863,White,English,2,391.65
a865bf96-5,Female,0,1,0,23,"College advanced","Social services",193840,White,Spanish,3,359.15
2ca52e3800,Female,0,1,0,23,"College advanced","Social services",193840,White,Spanish,3,423.74
2ca52f1473,Female,0,1,0,55,"High school","Machine maintenance",47740,White,Spanish,0,230.65
2ca52ff067,Female,0,0,0,74,College,NULL,59024,White,Spanish,0,231.86
2ca530cc06,Female,1,1,0,46,Basic,"Office administrative support",163190,"African american",Spanish,0,344.48
2ca531c699,Female,0,0,0,19,College,NULL,173433,White,European,5,459.75
a865c00e-5,Male,0,0,0,22,"High school",NULL,0,White,Asian,6,308.42
2ca532c081,Male,0,0,0,77,Basic,NULL,83709,"African american",English,0,312.01
2ca5339c35,Female,1,1,0,21,Basic,"Personal care",117238,White,Spanish,2,374.77
2ca5347896,Female,1,1,0,19,Basic,"Business and finance",117221,White,Spanish,6,469.08
2ca5355490,Female,1,1,0,32,"College advanced",Sales,102864,"African american",English,2,395.31
2ca5362633,Female,1,0,0,26,"High school",NULL,69504,White,English,4,356.93
a865c086-5,Female,0,1,0,29,"High school","Business and finance",141471,White,English,2,349.33
2ca5370236,Female,0,1,0,29,"High school","Business and finance",141471,White,English,2,340.92
2ca537de22,Male,0,0,0,68,"High school",NULL,72778,White,English,0,234.47
2ca538ba09,Female,1,1,0,73,College,"Construction and extraction",130708,White,European,0,338.33
2ca539b450,Male,0,1,0,41,"College advanced","Healthcare support",45415,"African american",English,0,224.35
2ca53a9a77,Female,1,1,0,50,College,"Office administrative support",153243,White,English,0,333.46
a865c0fe-5,Male,1,1,0,20,"High school","Software engineering and math",41940,Asian,English,3,347.94
2ca53b8001,Male,1,1,0,20,"High school","Software engineering and math",41940,Asian,English,3,310.74
2ca53c9811,Female,0,0,0,23,"High school",NULL,51490,Asian,European,0,241.99
2ca53d9270,Male,0,0,0,77,College,NULL,59223,White,Spanish,0,251.32
2ca53e7823,Female,0,1,0,32,College,"Law enforcement",123575,White,Spanish,1,395.69
2ca53f5420,Female,0,1,0,37,"High school","Food preparation",167692,White,English,0,301.31
2ca5403a70,Male,0,1,0,42,"High school","Personal care",77869,White,English,0,297.87
2ca541f236,Female,0,1,0,26,Basic,Sales,168856,White,European,2,345.46
2ca542ce43,Male,1,0,0,39,"High school",NULL,137723,White,English,0,434.60
a865c194-5,Male,0,1,0,51,"High school","Sanitation and maintenance",1021,White,English,0,208.25
2ca543aa30,Female,0,1,0,24,Basic,"Machine maintenance",165827,White,Spanish,2,347.19
2ca5448607,Female,1,0,0,78,Basic,NULL,79676,White,English,0,317.46
2ca5456289,Male,1,0,0,51,College,NULL,96823,"African american",English,0,308.88
2ca5463e80,Female,0,1,0,57,Basic,Transportation,88797,"African american",English,0,295.81
2ca5471a99,Male,0,1,0,52,"High school","Material moving",58402,White,English,0,229.79
2ca5481e17,Male,0,1,0,59,"High school",Transportation,97539,White,Spanish,0,261.83
2ca5490481,Female,1,0,0,60,College,NULL,146371,White,Spanish,0,394.58
2ca54a0810,Male,0,0,0,70,"College advanced",NULL,73157,White,English,0,226.14
2ca54aee60,Female,0,1,0,41,College,"Fire and safety",50198,White,English,0,220.30
a865c216-5,Male,1,1,0,21,"College advanced","Sanitation and maintenance",89755,White,English,0,343.78
2ca54c1a52,Male,1,1,0,21,"College advanced","Sanitation and maintenance",89755,White,English,0,358.05
2ca54cf651,Female,0,1,0,46,College,"Sanitation and maintenance",66234,White,English,0,258.03
2ca54dd287,Female,1,0,0,41,College,NULL,165114,White,English,0,337.70
2ca54ea428,Female,0,1,0,74,"High school","Sports, media, and entertainment",158144,"African american",English,0,331.39
2ca54f9490,Male,0,0,0,76,College,NULL,49677,White,English,0,250.84
2ca5507006,Female,1,0,0,80,"High school",NULL,61836,White,English,0,257.24
2ca5514c66,Female,1,1,0,61,College,"Personal care",108944,White,English,0,362.83
2ca5525006,Female,0,1,0,62,"High school",Sales,91216,White,English,0,285.47
2ca5534a89,Female,1,1,1,28,College,"Sports, media, and entertainment",70839,White,Spanish,1,323.03
9707381e-a,Female,1,1,1,28,College,"Sports, media, and entertainment",70839,White,Spanish,1,404.53
2ca5542657,Female,0,0,0,66,"College advanced",NULL,99103,White,English,0,271.22
2ca5550c53,Male,0,0,0,59,"High school",NULL,49064,White,English,0,217.57
2ca555e880,Male,0,1,0,25,College,Sales,71060,White,European,2,297.98
a865c28e-5,Male,1,1,0,29,"College advanced",Sales,146227,White,Spanish,3,458.45
2ca556ba59,Male,1,1,0,29,"College advanced",Sales,146227,White,Spanish,3,332.88
2ca5579656,Male,1,1,0,33,College,"Architecture and engineering",125838,White,English,4,390.41
2ca5587c13,Female,0,1,0,76,College,"Office administrative support",45497,"African american",English,0,273.32
a865c31a-5,Female,1,0,0,74,"College advanced",NULL,23121,White,English,0,275.68
2ca5595893,Male,0,1,0,22,Basic,"Material production",56027,White,English,4,333.40
2ca55a3473,Female,1,1,0,25,"College advanced",Transportation,45287,"African american",Spanish,0,246.68
2ca55b2406,Female,0,0,0,70,College,NULL,49751,White,Spanish,0,220.15
2ca55c0a00,Female,0,0,0,58,"High school",NULL,148175,White,English,0,273.17
2ca55ce634,Female,1,0,0,67,"High school",NULL,81400,"African american",Spanish,0,385.88
a865c39c-5,Male,1,1,0,21,"High school","Office administrative support",101666,"African american",European,2,342.71
2ca55dfe51,Male,1,1,0,21,"High school","Office administrative support",101666,"African american",European,2,333.21
2ca55ee471,Male,1,1,0,72,"High school","Software engineering and math",80156,White,European,0,340.65
2ca55fc063,Female,1,1,0,70,"College advanced","Healthcare technology",96191,Mixed,Spanish,0,354.36
2ca5609c36,Female,0,1,0,79,College,"Sports, media, and entertainment",45989,White,Spanish,0,235.06
2ca5617864,Female,0,1,0,67,College,"Software engineering and math",42331,"African american",English,0,294.53
2ca5633019,Male,0,1,0,36,"High school","Office administrative support",84529,White,Other,4,434.14
2ca5641659,Female,1,1,0,31,Basic,"Food preparation",63307,White,English,6,331.20
2ca564f249,Female,0,0,0,41,"College advanced",NULL,91727,White,English,0,292.19
a865c446-5,Female,0,1,0,37,"College advanced","Healthcare practice",144496,"African american",Spanish,0,317.65
2ca565ce24,Female,0,1,0,37,"College advanced","Healthcare practice",144496,"African american",Spanish,0,260.50
a865c4c8-5,Female,0,1,0,41,"High school",Management,79774,White,English,0,256.33
2ca566a081,Female,0,1,0,41,"High school",Management,79774,White,English,0,244.72
2ca5677c22,Female,0,0,0,71,"High school",NULL,111417,White,English,0,322.83
a865c54a-5,Male,1,1,0,57,College,"Office administrative support",79738,White,English,0,236.35
2ca5685888,Male,1,1,0,57,College,"Office administrative support",79738,White,English,0,302.00
2ca5695284,Female,1,1,0,32,Basic,Legal,79883,White,English,5,367.02
2ca56a3888,Male,0,1,0,24,College,"Business and finance",96985,White,English,1,327.49
2ca56b1454,Female,1,0,0,68,"High school",NULL,51667,White,English,0,291.75
2ca56bf012,Female,1,1,0,53,"College advanced",Sales,123869,White,English,0,298.98
2ca56ce082,Female,0,1,0,45,Basic,Transportation,86046,"African american",Spanish,0,276.72
2ca56dbc19,Male,0,1,0,49,"High school","Healthcare support",125363,"African american",English,0,241.16
2ca56e9896,Female,0,1,0,54,"High school",Sales,135435,"African american",English,0,254.44
2ca56f7425,Female,0,0,0,24,"High school",NULL,47117,White,English,0,241.06
2ca5705069,Male,1,1,0,64,College,Sales,129097,White,English,0,388.44
2ca5712c88,Female,0,1,0,21,"High school","Construction and extraction",97695,White,English,0,266.09
2ca5720807,Female,1,0,0,28,College,NULL,126284,White,European,4,479.89
2ca5730249,Male,0,1,0,42,"High school","Machine maintenance",100747,White,Spanish,0,298.26
2ca573fc95,Male,1,0,0,32,"High school",NULL,67801,"African american",English,0,318.24
2ca574d869,Female,0,1,0,45,College,"Healthcare support",135347,Asian,English,0,236.04
2ca575be50,Female,1,1,0,21,College,"Healthcare practice",134090,White,English,3,435.36
2ca5769a85,Female,0,1,0,23,"High school","Construction and extraction",59380,White,English,2,289.29
2ca5778a86,Female,1,1,0,67,"High school",Transportation,136878,White,English,0,377.74
2ca5786660,Female,1,0,0,45,"High school",NULL,58012,White,Spanish,0,304.08
2ca5794234,Female,0,1,0,56,"High school","Food preparation",134004,White,Spanish,0,268.10
a865c6bc-5,Male,1,1,0,26,Basic,"Office administrative support",100208,"African american",English,0,332.45
2ca57a1432,Male,1,1,0,26,Basic,"Office administrative support",100208,"African american",English,0,413.92
2ca57af097,Female,0,1,0,43,"High school","Food preparation",171668,White,English,0,248.72
2ca57bcc13,Female,1,0,0,78,"College advanced",NULL,48608,Asian,English,0,264.74
2ca57cc612,Female,0,1,0,65,"High school","Personal care",45975,White,English,0,263.49
2ca57da256,Male,0,1,0,23,College,Sales,186121,White,English,4,318.85
2ca57ef693,Male,0,1,0,27,"High school",Sales,41038,White,English,2,291.88
2ca57fd260,Male,1,1,0,41,"College advanced",Sales,41008,White,English,0,312.52
a865c734-5,Male,1,1,0,48,"College advanced","Material moving",0,"African american",English,0,307.68
2ca580ae83,Male,1,1,0,20,"High school","Office administrative support",127090,White,English,2,340.32
a865c7c0-5,Male,1,1,0,59,Basic,"Healthcare support",568,White,English,0,256.98
2ca5818a85,Female,1,0,0,76,College,NULL,110236,White,Spanish,0,357.56
a865c8ba-5,Female,1,1,0,29,College,Sales,114255,White,English,4,426.62
2ca5826699,Female,1,1,0,29,College,Sales,114255,White,English,4,368.11
97073986-a,Female,1,1,1,22,Basic,Sales,24691,White,English,3,344.64
2ca5834230,Male,0,1,0,28,College,Education,83392,White,Spanish,5,460.78
2ca584f087,Male,1,1,0,52,"High school","Office administrative support",114996,White,English,0,381.59
2ca585cc98,Female,0,1,0,26,"High school",Management,187988,White,English,0,276.76
2ca586a828,Female,0,1,0,40,"High school","Construction and extraction",196313,White,Spanish,2,370.78
2ca5878476,Male,0,1,0,50,"High school","Personal care",58840,White,English,0,244.72
a865cac2-5,Male,1,0,0,48,"High school",NULL,22562,White,English,0,235.62
2ca5886085,Male,1,1,0,45,"High school",Management,173021,White,European,0,293.95
2ca5895050,Male,1,0,0,74,"High school",NULL,71451,White,English,0,341.15
a865cb44-5,Female,1,0,0,27,"High school",NULL,120346,White,Spanish,1,393.17
2ca58a2c06,Female,1,0,0,27,"High school",NULL,120346,White,Spanish,1,416.50
2ca58b0896,Female,0,1,0,46,"High school","Sanitation and maintenance",57299,"African american",English,0,275.41
2ca58be467,Female,0,1,1,20,College,"Construction and extraction",78981,"African american",English,3,375.50
97073aee-a,Female,0,1,1,20,College,"Construction and extraction",78981,"African american",English,3,341.44
2ca58cb657,Male,1,1,0,39,"High school",Sales,45321,"African american",Spanish,0,303.55
2ca58db082,Male,0,1,0,43,"High school","Business and finance",46900,White,English,0,226.55
a865cc34-5,Female,0,1,0,50,College,"Construction and extraction",53216,White,English,0,223.49
2ca58e8c20,Female,0,1,0,50,College,"Construction and extraction",53216,White,English,0,267.30
2ca58f5e75,Female,1,0,0,58,"High school",NULL,86077,White,English,0,294.41
2ca5903a94,Female,0,0,0,65,"High school",NULL,82438,White,Spanish,0,318.83
2ca5911642,Male,1,1,0,56,College,"Software engineering and math",66276,White,English,0,266.48
2ca591f218,Male,0,0,0,83,"High school",NULL,122521,White,English,0,305.33
2ca592ec64,Female,0,1,0,21,"High school","Healthcare practice",169852,White,English,3,377.96
2ca593e630,Male,0,1,0,42,"College advanced",Legal,107666,White,Other,0,297.41
2ca594c289,Female,0,1,0,58,Basic,"Material moving",164687,White,English,0,293.16
a865cd56-5,Female,1,0,0,74,"High school",NULL,30175,White,Spanish,0,247.16
2ca595a839,Male,1,1,0,58,Basic,Transportation,52912,White,Spanish,0,301.50
2ca5969885,Female,0,1,0,27,College,Management,87299,White,English,1,290.57
2ca5977484,Female,0,1,0,72,"High school",Management,158578,White,English,0,288.25
2ca5985061,Female,0,1,0,49,College,Sales,74999,White,English,0,221.13
2ca5992235,Female,0,0,0,75,"High school",NULL,134347,Mixed,Spanish,0,284.51
2ca599fe82,Male,0,1,0,34,"High school",Sales,66474,White,English,3,355.30
2ca59ad041,Female,0,1,0,50,"High school","Food preparation",122004,White,Spanish,0,271.58
a865ce00-5,Female,0,0,0,80,College,NULL,34238,White,Spanish,0,227.56
97073c92-a,Female,0,1,1,20,College,"Material moving",290,White,English,4,327.69
2ca59ba294,Male,0,0,0,70,"College advanced",NULL,160166,White,English,0,266.41
2ca59c7e17,Male,1,1,0,47,"High school","Law enforcement",90936,White,English,0,309.73
2ca59d5013,Female,0,1,0,33,"College advanced","Construction and extraction",41439,White,Spanish,2,309.26
2ca59e5e60,Male,0,1,0,60,College,"Healthcare technology",109257,White,English,0,229.42
2ca59f4458,Female,0,1,0,67,"High school",Education,167604,White,Spanish,0,308.62
2ca5a02024,Female,0,0,0,77,"High school",NULL,164414,White,Spanish,0,322.47
2ca5a0fc32,Male,0,0,0,19,College,NULL,68139,"African american",Asian,6,327.68
2ca5a1d833,Female,0,1,0,35,Basic,"Machine maintenance",55366,White,English,3,384.33
2ca5a2aa79,Male,1,1,0,64,"High school","Material production",76272,White,English,0,345.77
2ca5a39054,Female,0,1,0,36,"High school","Office administrative support",48968,White,English,4,405.98
a865ce78-5,Female,1,1,0,41,College,"Food preparation",58778,White,Spanish,0,288.30
2ca5a46201,Female,1,1,0,41,College,"Food preparation",58778,White,Spanish,0,288.76
2ca5a53e78,Male,0,1,0,62,College,Management,55237,White,English,0,223.04
2ca5a63802,Female,1,0,0,58,"High school",NULL,88262,White,English,0,389.23
2ca5a71451,Female,0,0,0,49,College,NULL,144251,White,English,0,264.63
a865cefa-5,Male,0,0,0,72,"High school",NULL,60171,Mixed,English,0,245.30
2ca5a7f098,Male,0,0,0,72,"High school",NULL,60171,Mixed,English,0,244.41
2ca5a8e093,Male,0,1,0,27,College,Management,149080,White,English,3,332.97
a865cf90-5,Female,0,1,0,63,College,"Food preparation",61429,White,English,0,264.95
2ca5a9bc07,Female,0,1,0,63,College,"Food preparation",61429,White,English,0,239.34
a865d012-5,Male,0,1,0,42,College,"Personal care",48500,"African american",European,0,237.26
2ca5aa9873,Male,0,1,0,42,College,"Personal care",48500,"African american",European,0,291.54
2ca5ab6a73,Male,0,1,0,30,College,"Healthcare support",69182,White,English,0,260.68
2ca5ac4623,Female,0,1,0,23,"High school","Food preparation",139176,White,English,0,303.36
2ca5ad2222,Male,0,0,0,65,Basic,NULL,73635,White,English,0,244.07
2ca5ae1c14,Female,1,1,0,61,"College advanced","Construction and extraction",42259,White,English,0,238.98
2ca5af0221,Male,1,1,0,37,"High school",Sales,42110,"Native american",English,4,355.82
2ca5afde87,Male,0,1,0,40,"High school",Sales,86855,"Native american",English,4,397.40
2ca5b0ba74,Female,1,1,0,61,"High school","Sanitation and maintenance",72566,White,English,0,344.00
2ca5b18c49,Female,0,1,0,26,"High school","Construction and extraction",108135,"African american",English,4,458.47
2ca5b28670,Female,0,1,0,46,"College advanced","Healthcare support",41209,White,English,0,267.68
2ca5b38010,Male,1,0,0,64,"High school",NULL,92465,Hawaiian,English,0,362.98
2ca5b45c24,Male,1,1,0,31,College,Legal,172487,White,English,3,330.40
2ca5b56003,Female,1,1,0,27,College,"Healthcare technology",56394,White,English,6,383.75
2ca5b64665,Male,1,1,0,43,College,"Sanitation and maintenance",81975,"African american",English,0,396.54
2ca5b72236,Female,0,1,0,29,College,"Office administrative support",83613,White,Spanish,4,418.61
2ca5b80823,Male,1,1,0,65,Basic,"Software engineering and math",104863,White,English,0,351.93
2ca5b8da39,Female,1,0,0,77,"College advanced",NULL,128453,White,Spanish,0,373.36
a865d08a-5,Female,1,0,0,76,"High school",NULL,11091,White,European,0,231.90
a865d184-5,Female,0,0,0,70,Basic,NULL,0,White,Spanish,0,206.70
2ca5b9b693,Male,1,0,0,53,"High school",NULL,130676,White,English,0,369.19
2ca5ba9274,Female,0,0,0,76,College,NULL,68200,"African american",English,0,233.40
2ca5bb6443,Female,1,0,0,73,Basic,NULL,67329,White,English,0,275.88
2ca5bc4007,Female,0,0,0,44,"High school",NULL,66490,White,English,0,231.42
2ca5bd1223,Male,1,1,0,43,Basic,"Office administrative support",95693,White,Spanish,0,271.18
2ca5be0c20,Female,0,1,0,54,Basic,Sales,45380,White,English,0,212.61
2ca5bf0624,Female,0,1,0,59,"High school","Construction and extraction",162097,White,European,0,250.72
2ca5bfd808,Female,1,1,0,49,"High school","Office administrative support",51600,White,English,0,270.84
a865d1fc-5,Female,0,1,0,56,Basic,"Material moving",54465,White,English,0,280.94
2ca5c0b408,Female,0,1,0,56,Basic,"Material moving",54465,White,English,0,238.82
2ca5c19023,Female,1,0,0,62,"High school",NULL,129584,White,Spanish,0,383.85
a865d274-5,Male,1,1,0,28,Basic,"Software engineering and math",181117,"African american",European,2,350.84
2ca5c26c45,Male,1,1,0,28,Basic,"Software engineering and math",181117,"African american",European,2,438.65
a865d2f6-5,Male,1,0,0,73,"High school",NULL,53673,White,English,0,285.65
2ca5c33e72,Male,1,0,0,73,"High school",NULL,53673,White,English,0,295.94
2ca5c41a24,Female,1,0,0,76,"High school",NULL,49397,White,English,0,319.23
2ca5c4ec26,Female,0,1,0,53,"High school","Office administrative support",78942,White,English,0,231.71
a865d36e-5,Male,1,1,0,44,"High school",Management,2905,White,Spanish,0,306.73
2ca5c5c895,Male,0,1,0,33,College,Sales,121135,White,English,2,330.99
2ca5c78046,Male,0,0,0,32,"High school",NULL,49985,White,English,3,287.82
a865d3fa-5,Male,0,0,0,70,"High school",NULL,116574,White,English,0,235.37
2ca5c87020,Male,0,0,0,70,"High school",NULL,116574,White,English,0,240.24
2ca5c94c58,Female,0,0,0,69,College,NULL,56757,White,English,0,209.84
a865d4a4-5,Female,1,1,0,41,College,"Office administrative support",53217,White,English,0,298.65
2ca5cb0485,Female,1,1,0,41,College,"Office administrative support",53217,White,English,0,271.09
2ca5cbe012,Female,0,0,0,79,"High school",NULL,74551,White,English,0,249.28
a865d526-5,Female,1,1,0,50,College,"Food preparation",38075,"African american",English,0,244.33
2ca5ccbc94,Male,0,0,0,84,"College advanced",NULL,121439,White,English,0,289.97
2ca5cdb602,Male,0,1,0,62,College,Management,95075,White,English,0,252.30
a865d634-5,Male,0,1,0,32,College,Education,168413,White,English,2,301.65
2ca5ce9c06,Male,0,1,0,32,College,Education,168413,White,English,2,342.56
2ca5cf9619,Female,0,1,0,59,College,"Office administrative support",146651,White,English,0,332.25
2ca5d07273,Male,1,0,0,73,College,NULL,114223,White,Spanish,0,374.83
2ca5d14e67,Male,0,1,0,37,"High school","Office administrative support",68715,White,Asian,1,261.72
2ca5d24807,Female,1,1,0,52,"High school","Sanitation and maintenance",64226,White,English,0,367.83
a865d738-5,Male,0,0,0,36,"High school",NULL,54414,"African american",European,2,316.12
2ca5d34210,Male,0,0,0,36,"High school",NULL,54414,"African american",European,2,310.15
2ca5d42854,Female,1,1,0,40,College,"Office administrative support",149689,White,English,1,433.71
2ca5d4fa70,Female,1,0,0,72,"High school",NULL,109927,White,English,0,334.04
a865d7b0-5,Male,1,1,0,43,College,"Construction and extraction",32414,White,English,0,242.54
2ca5d5d682,Male,1,1,0,74,"High school","Construction and extraction",99716,"African american",Spanish,0,334.98
a865d828-5,Male,0,1,0,62,Basic,"Business and finance",0,White,English,0,214.99
2ca5d6b279,Male,1,0,0,70,Basic,NULL,57837,White,English,0,312.20
2ca5d78e84,Female,0,0,0,30,College,NULL,134182,White,English,2,333.07
2ca5d86099,Female,0,1,0,21,Basic,"Software engineering and math",65767,"African american",English,0,273.62
a865d922-5,Male,1,1,0,30,College,Sales,50373,"African american",Spanish,2,327.25
2ca5d93c90,Male,1,1,0,30,College,Sales,50373,"African american",Spanish,2,355.00
2ca5da1898,Male,1,1,0,56,"High school","Construction and extraction",181060,White,English,0,358.00
2ca5daea08,Male,0,1,0,50,"High school",Legal,141069,White,Spanish,0,201.73
a865d99a-5,Female,1,0,0,64,"High school",NULL,69487,White,Spanish,0,341.31
2ca5dbc621,Female,1,0,0,64,"High school",NULL,69487,White,Spanish,0,308.43
2ca5dca241,Female,1,1,0,51,College,"Personal care",55051,"African american",English,0,268.66
2ca5dd9210,Female,0,1,0,44,"High school","Construction and extraction",47210,"African american",Spanish,0,229.17
2ca5ec5621,Female,1,1,0,49,Basic,Sales,50814,White,English,0,262.52
2ca5ed6e12,Male,0,1,0,44,"High school","Healthcare practice",74250,White,English,0,245.83
a865dab2-5,Female,0,1,0,45,College,Transportation,11962,White,English,0,198.74
2ca5ee5466,Male,0,1,0,39,College,"Office administrative support",62377,White,English,4,356.88
2ca5ef3a42,Male,0,0,0,63,"High school",NULL,46670,White,English,0,255.59
2ca5f01653,Male,1,1,0,25,"High school","Food preparation",100756,White,English,5,339.54
a865db2a-5,Male,1,0,0,45,"High school",NULL,48807,White,English,0,299.83
2ca5f0fc72,Male,1,0,0,45,"High school",NULL,48807,White,English,0,316.02
2ca5f1d852,Female,0,0,0,81,"High school",NULL,78491,White,English,0,263.63
2ca5f2aa01,Male,1,1,0,27,"High school","Personal care",71474,White,English,5,339.99
a865dbac-5,Female,1,0,0,61,"High school",NULL,51084,White,English,0,345.03
2ca5f38690,Female,1,0,0,61,"High school",NULL,51084,White,English,0,294.92
2ca5f46c12,Female,0,1,0,70,"High school","Food preparation",130367,White,English,0,268.53
2ca5f53e05,Male,0,1,0,52,"High school","Material moving",125480,White,English,0,249.14
2ca5f63830,Male,1,0,0,52,"High school",NULL,46418,White,English,0,298.48
2ca5f71445,Male,0,1,0,53,"High school","Personal care",122576,White,Spanish,0,380.65
2ca5f7f054,Female,1,1,0,33,"High school",Sales,180710,White,English,2,440.70
2ca5f8cc87,Male,1,1,0,43,"College advanced",Management,147465,White,English,0,298.66
2ca5f99e66,Male,0,1,0,55,College,Management,59621,White,European,0,233.76
2ca5fa7a97,Male,0,0,0,78,"High school",NULL,85728,White,English,0,341.90
a865dc24-5,Female,1,0,0,51,"High school",NULL,179461,White,English,0,375.75
2ca5fb5652,Female,1,0,0,51,"High school",NULL,179461,White,English,0,302.03
a865dcba-5,Female,0,1,0,49,"High school",Management,44362,White,English,0,267.32
2ca5fc5041,Female,0,1,0,49,"High school",Management,44362,White,English,0,198.36
2ca5fd2c39,Female,0,1,0,76,"College advanced","Food preparation",125681,White,Spanish,0,221.53
2ca5fe3006,Male,0,1,0,64,College,"Office administrative support",44528,White,English,0,213.34
2ca5ff0c39,Male,1,1,0,62,"High school","Healthcare practice",67598,"African american",English,0,292.50
2ca6000699,Male,0,0,0,62,"College advanced",NULL,48596,White,Spanish,0,229.22
2ca6010060,Male,1,1,0,49,"High school","Office administrative support",147751,White,English,0,383.02
2ca601e688,Male,0,1,0,53,"High school","Construction and extraction",105271,White,English,0,280.35
2ca602b849,Male,1,1,0,56,Basic,Management,91539,White,Spanish,0,333.00
2ca6039498,Male,0,1,0,43,"High school","Food preparation",64807,White,English,0,253.01
2ca6047073,Male,1,0,0,22,Basic,NULL,47414,White,English,0,321.65
2ca6054c59,Female,0,1,0,39,"College advanced","Sanitation and maintenance",115032,White,European,1,294.59
2ca6063283,Female,0,1,0,35,"High school","Office administrative support",76714,"African american",European,0,257.77
a865dd3c-5,Male,1,0,0,74,Basic,NULL,50622,White,English,0,292.82
2ca6070e93,Male,1,0,0,74,Basic,NULL,50622,White,English,0,318.77
2ca607ea60,Female,0,1,0,33,College,"Personal care",41446,White,English,3,273.54
2ca608c636,Male,0,1,0,35,"College advanced","Construction and extraction",197133,White,English,5,407.81
2ca6099813,Male,0,1,0,49,"High school","Office administrative support",104163,White,English,0,228.13
2ca60a7493,Male,1,1,0,20,"High school",Transportation,110195,White,European,4,355.04
2ca60b6e21,Male,1,1,0,49,College,"Machine maintenance",123753,White,English,0,433.52
2ca60c4a54,Female,0,1,0,62,College,"Food preparation",68945,White,English,0,272.04
2ca60d4487,Male,1,1,0,43,"College advanced",Education,43723,White,English,0,318.57
2ca60e2060,Male,1,1,0,44,"High school","Business and finance",123064,White,Spanish,0,396.82
2ca60f1a47,Female,1,1,0,35,"High school",Sales,89903,"African american",English,4,435.86
2ca60ff625,Female,1,1,0,50,"College advanced",Management,41936,"African american",Asian,0,304.21
2ca610d215,Male,0,0,0,67,"High school",NULL,99126,White,English,0,231.82
a865ddb4-5,Female,0,1,0,20,"High school",Sales,92504,White,Spanish,1,334.14
